code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps
pc-i,Video3.mp4,9,97,0.0409,0.0377,0.0609,0.0031,24.45
pc-i,Video3.mp4,10,97,0.041,0.0369,0.0632,0.0033,24.38
pc-i,Video3.mp4,11,97,0.0415,0.0373,0.0593,0.0033,24.08
pc-i,Video3.mp4,12,97,0.0407,0.0362,0.0591,0.0029,24.55
pc-i,Video3.mp4,13,97,0.0409,0.0368,0.0592,0.0028,24.48
pc-i,Video3.mp4,14,97,0.0418,0.037,0.0682,0.0038,23.93
pc-i,Video3.mp4,15,97,0.041,0.0372,0.0636,0.0031,24.39
pc-i,Video3.mp4,16,97,0.0409,0.0363,0.0603,0.0032,24.44
pc-i,Video3.mp4,17,97,0.0415,0.0366,0.0583,0.0033,24.12
pc-i,Video3.mp4,18,97,0.0411,0.0368,0.0583,0.003,24.3
pc-i,Video3.mp4,19,97,0.0421,0.0377,0.0623,0.0034,23.73
pc-i,Video3.mp4,20,97,0.0417,0.0361,0.0629,0.003,23.98
pc-i,Video3.mp4,21,97,0.0419,0.037,0.0642,0.0035,23.89
pc-i,Video3.mp4,22,97,0.0423,0.0369,0.0583,0.0034,23.66
pc-i,Video3.mp4,23,97,0.0417,0.0367,0.0591,0.0031,24.01
pc-i,Video3.mp4,24,97,0.0417,0.0371,0.0607,0.0031,23.98
pc-i,Video3.mp4,25,97,0.0409,0.0369,0.0638,0.0034,24.43
pc-i,Video3.mp4,26,97,0.0423,0.0378,0.061,0.0038,23.62
pc-i,Video3.mp4,27,97,0.0412,0.0358,0.0615,0.003,24.24
pc-i,Video3.mp4,28,97,0.0419,0.038,0.0631,0.0031,23.86
pc-i,Video3.mp4,29,97,0.0419,0.0374,0.062,0.0031,23.85
pc-i,Video3.mp4,30,97,0.0416,0.0377,0.0632,0.0031,24.02
pc-i,Bild1.jpg,1,1,0.8039,0.8039,0.8039,0,1.24
pc-i,Bild1.jpg,2,1,0.0757,0.0757,0.0757,0,13.2
pc-i,Bild1.jpg,3,1,0.0714,0.0714,0.0714,0,14.0
pc-i,Bild1.jpg,4,1,0.0726,0.0726,0.0726,0,13.77
pc-i,Bild1.jpg,5,1,0.0769,0.0769,0.0769,0,13.0
pc-i,Bild1.jpg,6,1,0.0773,0.0773,0.0773,0,12.93
pc-i,Bild1.jpg,7,1,0.0678,0.0678,0.0678,0,14.75
pc-i,Bild1.jpg,8,1,0.0692,0.0692,0.0692,0,14.44
pc-i,Bild1.jpg,9,1,0.0698,0.0698,0.0698,0,14.33
pc-i,Bild1.jpg,10,1,0.0716,0.0716,0.0716,0,13.97
pc-i,Bild1.jpg,11,1,0.0721,0.0721,0.0721,0,13.87
pc-i,Bild1.jpg,12,1,0.0711,0.0711,0.0711,0,14.06
pc-i,Bild1.jpg,13,1,0.0702,0.0702,0.0702,0,14.25
pc-i,Bild1.jpg,14,1,0.069,0.069,0.069,0,14.5
pc-i,Bild1.jpg,15,1,0.0756,0.0756,0.0756,0,13.23
pc-i,Bild1.jpg,16,1,0.0713,0.0713,0.0713,0,14.03
pc-i,Bild1.jpg,17,1,0.0699,0.0699,0.0699,0,14.3
pc-i,Bild1.jpg,18,1,0.0691,0.0691,0.0691,0,14.48
pc-i,Bild1.jpg,19,1,0.0698,0.0698,0.0698,0,14.33
pc-i,Bild1.jpg,20,1,0.0745,0.0745,0.0745,0,13.42
pc-i,Bild1.jpg,21,1,0.0731,0.0731,0.0731,0,13.68
pc-i,Bild1.jpg,22,1,0.069,0.069,0.069,0,14.48
pc-i,Bild1.jpg,23,1,0.0722,0.0722,0.0722,0,13.86
pc-i,Bild1.jpg,24,1,0.0695,0.0695,0.0695,0,14.39
pc-i,Bild1.jpg,25,1,0.069,0.069,0.069,0,14.5
pc-i,Bild1.jpg,26,1,0.0672,0.0672,0.0672,0,14.87
pc-i,Bild1.jpg,27,1,0.0683,0.0683,0.0683,0,14.65
pc-i,Bild1.jpg,28,1,0.0724,0.0724,0.0724,0,13.82
pc-i,Bild1.jpg,29,1,0.0704,0.0704,0.0704,0,14.19
pc-i,Bild1.jpg,30,1,0.0701,0.0701,0.0701,0,14.26
pc-i,Bild2.jpg,1,1,0.848,0.848,0.848,0,1.18
pc-i,Bild2.jpg,2,1,0.1133,0.1133,0.1133,0,8.82
pc-i,Bild2.jpg,3,1,0.1138,0.1138,0.1138,0,8.79
pc-i,Bild2.jpg,4,1,0.1117,0.1117,0.1117,0,8.95
pc-i,Bild2.jpg,5,1,0.108,0.108,0.108,0,9.26
pc-i,Bild2.jpg,6,1,0.1076,0.1076,0.1076,0,9.29
pc-i,Bild2.jpg,7,1,0.1098,0.1098,0.1098,0,9.11
pc-i,Bild2.jpg,8,1,0.1086,0.1086,0.1086,0,9.21
pc-i,Bild2.jpg,9,1,0.1136,0.1136,0.1136,0,8.8
pc-i,Bild2.jpg,10,1,0.1076,0.1076,0.1076,0,9.3
pc-i,Bild2.jpg,11,1,0.1115,0.1115,0.1115,0,8.97
pc-i,Bild2.jpg,12,1,0.1061,0.1061,0.1061,0,9.42
pc-i,Bild2.jpg,13,1,0.1159,0.1159,0.1159,0,8.63
pc-i,Bild2.jpg,14,1,0.1082,0.1082,0.1082,0,9.24
pc-i,Bild2.jpg,15,1,0.108,0.108,0.108,0,9.26
pc-i,Bild2.jpg,16,1,0.1079,0.1079,0.1079,0,9.27
pc-i,Bild2.jpg,17,1,0.1086,0.1086,0.1086,0,9.21
pc-i,Bild2.jpg,18,1,0.1144,0.1144,0.1144,0,8.74
pc-i,Bild2.jpg,19,1,0.1092,0.1092,0.1092,0,9.16
pc-i,Bild2.jpg,20,1,0.1077,0.1077,0.1077,0,9.28
pc-i,Bild2.jpg,21,1,0.1131,0.1131,0.1131,0,8.84
pc-i,Bild2.jpg,22,1,0.1064,0.1064,0.1064,0,9.39
pc-i,Bild2.jpg,23,1,0.1091,0.1091,0.1091,0,9.16
pc-i,Bild2.jpg,24,1,0.1105,0.1105,0.1105,0,9.05
pc-i,Bild2.jpg,25,1,0.1096,0.1096,0.1096,0,9.12
pc-i,Bild2.jpg,26,1,0.1116,0.1116,0.1116,0,8.96
pc-i,Bild2.jpg,27,1,0.1113,0.1113,0.1113,0,8.99
pc-i,Bild2.jpg,28,1,0.1162,0.1162,0.1162,0,8.61
pc-i,Bild2.jpg,29,1,0.1102,0.1102,0.1102,0,9.07
pc-i,Bild2.jpg,30,1,0.111,0.111,0.111,0,9.01
pc-i,Bild3.jpg,1,1,0.4806,0.4806,0.4806,0,2.08
pc-i,Bild3.jpg,2,1,0.0846,0.0846,0.0846,0,11.82
pc-i,Bild3.jpg,3,1,0.0822,0.0822,0.0822,0,12.16
pc-i,Bild3.jpg,4,1,0.0844,0.0844,0.0844,0,11.85
pc-i,Bild3.jpg,5,1,0.082,0.082,0.082,0,12.19
pc-i,Bild3.jpg,6,1,0.0842,0.0842,0.0842,0,11.87
pc-i,Bild3.jpg,7,1,0.0809,0.0809,0.0809,0,12.37
pc-i,Bild3.jpg,8,1,0.0819,0.0819,0.0819,0,12.21
pc-i,Bild3.jpg,9,1,0.0852,0.0852,0.0852,0,11.74
pc-i,Bild3.jpg,10,1,0.0824,0.0824,0.0824,0,12.13
pc-i,Bild3.jpg,11,1,0.0792,0.0792,0.0792,0,12.63
pc-i,Bild3.jpg,12,1,0.0819,0.0819,0.0819,0,12.21
pc-i,Bild3.jpg,13,1,0.0921,0.0921,0.0921,0,10.85
pc-i,Bild3.jpg,14,1,0.0825,0.0825,0.0825,0,12.11
pc-i,Bild3.jpg,15,1,0.0828,0.0828,0.0828,0,12.08
pc-i,Bild3.jpg,16,1,0.0812,0.0812,0.0812,0,12.32
pc-i,Bild3.jpg,17,1,0.0829,0.0829,0.0829,0,12.06
pc-i,Bild3.jpg,18,1,0.0859,0.0859,0.0859,0,11.64
pc-i,Bild3.jpg,19,1,0.0915,0.0915,0.0915,0,10.93
pc-i,Bild3.jpg,20,1,0.0836,0.0836,0.0836,0,11.96
pc-i,Bild3.jpg,21,1,0.083,0.083,0.083,0,12.05
pc-i,Bild3.jpg,22,1,0.0818,0.0818,0.0818,0,12.22
pc-i,Bild3.jpg,23,1,0.0788,0.0788,0.0788,0,12.69
pc-i,Bild3.jpg,24,1,0.0782,0.0782,0.0782,0,12.78
pc-i,Bild3.jpg,25,1,0.0876,0.0876,0.0876,0,11.41
pc-i,Bild3.jpg,26,1,0.0848,0.0848,0.0848,0,11.79
pc-i,Bild3.jpg,27,1,0.085,0.085,0.085,0,11.76
pc-i,Bild3.jpg,28,1,0.0837,0.0837,0.0837,0,11.95
pc-i,Bild3.jpg,29,1,0.0821,0.0821,0.0821,0,12.18
pc-i,Bild3.jpg,30,1,0.083,0.083,0.083,0,12.05
