setup,bild,keypoint,distance
lt-l,2,Nase,0.04933172665732015
lt-l,2,L_Auge,0.9162580290929809
lt-l,2,R_Auge,0.06520216242324467
lt-l,2,L_Ohr,0.23333766488326976
lt-l,2,R_Ohr,0.2672980490985341
lt-l,2,L_Schulter,1.6482946086986778
lt-l,2,R_Schulter,0.7094434867224448
lt-l,2,L_Ellbogen,0.3664823705913364
lt-l,2,R_Ellbogen,1.0041040119779823
lt-l,2,L_Handgelenk,1.1236000479321775
lt-l,2,R_Handgelenk,0.9618076721756618
lt-l,2,L_Hüfte,1.1483525887154356
lt-l,2,R_Hüfte,0.5180346768564377
lt-l,2,L_Knie,1.168603690133028
lt-l,2,R_Knie,0.6823033230667942
lt-l,2,L_Knöchel,1.3447247085552847
lt-l,2,R_Knöchel,0.7651885352610611
lt-lm,2,Nase,0.0725692358152103
lt-lm,2,L_Auge,0.45939664294138705
lt-lm,2,R_Auge,0.06444393118069919
lt-lm,2,L_Ohr,0.1618381271052834
lt-lm,2,R_Ohr,0.23417167674614459
lt-lm,2,L_Schulter,0.8007545132037467
lt-lm,2,R_Schulter,0.389399089532625
lt-lm,2,L_Ellbogen,0.2298553220335913
lt-lm,2,R_Ellbogen,0.5212925865055043
lt-lm,2,L_Handgelenk,0.8412758306139555
lt-lm,2,R_Handgelenk,1.4395236316230668
lt-lm,2,L_Hüfte,0.5362425038385572
lt-lm,2,R_Hüfte,0.22556330873316316
lt-lm,2,L_Knie,0.5395065857213718
lt-lm,2,R_Knie,0.30889553240811807
lt-lm,2,L_Knöchel,0.7017385462152954
lt-lm,2,R_Knöchel,0.39701314513468755
pc-i,2,Nase,0.028561303018477716
pc-i,2,L_Auge,0.4564791715838878
pc-i,2,R_Auge,0.05820751756768169
pc-i,2,L_Ohr,0.07016124763709972
pc-i,2,R_Ohr,1.184832716228456
pc-i,2,L_Schulter,0.8466844018377071
pc-i,2,R_Schulter,0.31598893278674844
pc-i,2,L_Ellbogen,0.1321135674540516
pc-i,2,R_Ellbogen,0.49079205816701404
pc-i,2,L_Handgelenk,0.9560444506806018
pc-i,2,R_Handgelenk,0.4807939406738508
pc-i,2,L_Hüfte,0.6138462517581926
pc-i,2,R_Hüfte,0.30259805433497455
pc-i,2,L_Knie,0.6357632239800479
pc-i,2,R_Knie,0.3834600045009181
pc-i,2,L_Knöchel,0.6373568748824663
pc-i,2,R_Knöchel,0.37803791718649843
pc-l,2,Nase,0.04225390710962738
pc-l,2,L_Auge,0.9031867822694565
pc-l,2,R_Auge,0.07734558946714128
pc-l,2,L_Ohr,0.22254961836429546
pc-l,2,R_Ohr,0.25837866032344975
pc-l,2,L_Schulter,1.639186495984477
pc-l,2,R_Schulter,0.6967456733648149
pc-l,2,L_Ellbogen,0.3550369135322502
pc-l,2,R_Ellbogen,1.0151902232040693
pc-l,2,L_Handgelenk,1.1195333268315364
pc-l,2,R_Handgelenk,0.9567554736112042
pc-l,2,L_Hüfte,1.1453886858613647
pc-l,2,R_Hüfte,0.5321891814315053
pc-l,2,L_Knie,1.1809725653289334
pc-l,2,R_Knie,0.6981238371577692
pc-l,2,L_Knöchel,1.3267535705339353
pc-l,2,R_Knöchel,0.7780668456736715
pc-lm,2,Nase,0.07675154180152134
pc-lm,2,L_Auge,0.45762111947778306
pc-lm,2,R_Auge,0.06931345460196735
pc-lm,2,L_Ohr,0.16566997023530733
pc-lm,2,R_Ohr,0.23700294183229598
pc-lm,2,L_Schulter,0.7978942878590064
pc-lm,2,R_Schulter,0.3909568363932282
pc-lm,2,L_Ellbogen,0.234446851216017
pc-lm,2,R_Ellbogen,0.5225681963318635
pc-lm,2,L_Handgelenk,0.8444954506976892
pc-lm,2,R_Handgelenk,1.4373241549666729
pc-lm,2,L_Hüfte,0.534094528133741
pc-lm,2,R_Hüfte,0.22275351097350413
pc-lm,2,L_Knie,0.534926140328057
pc-lm,2,R_Knie,0.30478103284115243
pc-lm,2,L_Knöchel,0.7077787258135606
pc-lm,2,R_Knöchel,0.39373434534351026
lt-i,3,Nase,0.5550540340256246
lt-i,3,L_Auge,0.44434616219163825
lt-i,3,R_Auge,1.0541533448933784
lt-i,3,L_Ohr,0.5603275551212124
lt-i,3,R_Ohr,0.9254560794845313
lt-i,3,L_Schulter,0.2144116712021144
lt-i,3,R_Schulter,1.1128071991945785
lt-i,3,L_Ellbogen,0.5458429135242695
lt-i,3,R_Ellbogen,1.045919523987235
lt-i,3,L_Handgelenk,0.2902441034987099
lt-i,3,R_Handgelenk,0.5232474031718828
lt-i,3,L_Hüfte,0.9556015150385987
lt-i,3,R_Hüfte,0.48076767536888304
lt-i,3,L_Knie,0.351733915312745
lt-i,3,R_Knie,1.9831765198522975
lt-i,3,L_Knöchel,0.42846807363135253
lt-i,3,R_Knöchel,0.3076265612861202
lt-l,3,Nase,1.0777110931776757
lt-l,3,L_Auge,0.8361237862180599
lt-l,3,R_Auge,2.069113555213616
lt-l,3,L_Ohr,0.7948267420517655
lt-l,3,R_Ohr,1.8105098845068313
lt-l,3,L_Schulter,0.244223590952905
lt-l,3,R_Schulter,1.740577148121057
lt-l,3,L_Ellbogen,1.62458298261264
lt-l,3,R_Ellbogen,1.616647369194456
lt-l,3,L_Handgelenk,0.6582548296939061
lt-l,3,R_Handgelenk,0.1010413554111419
lt-l,3,L_Hüfte,1.345132309946629
lt-l,3,R_Hüfte,0.16478590607019358
lt-l,3,L_Knie,0.61652183381104
lt-l,3,R_Knie,2.8129299123698566
lt-l,3,L_Knöchel,0.8722547932506061
lt-l,3,R_Knöchel,1.5482493266881616
lt-lm,3,Nase,0.5370635814603566
lt-lm,3,L_Auge,0.4063621672066572
lt-lm,3,R_Auge,1.0308165447055433
lt-lm,3,L_Ohr,0.7637452153748235
lt-lm,3,R_Ohr,0.8964653480604995
lt-lm,3,L_Schulter,0.20038704749133343
lt-lm,3,R_Schulter,1.2008030731437986
lt-lm,3,L_Ellbogen,0.5740894045260333
lt-lm,3,R_Ellbogen,1.077907639013931
lt-lm,3,L_Handgelenk,0.34737918978080645
lt-lm,3,R_Handgelenk,0.4946286087562442
lt-lm,3,L_Hüfte,0.7863504563301472
lt-lm,3,R_Hüfte,0.6520545475298102
lt-lm,3,L_Knie,0.2825549553286452
lt-lm,3,R_Knie,0.8587311772584372
lt-lm,3,L_Knöchel,0.43960868495768785
lt-lm,3,R_Knöchel,1.2855895708751703
pc-i,3,Nase,0.5540211673946603
pc-i,3,L_Auge,0.44593680747154607
pc-i,3,R_Auge,1.0532633598140868
pc-i,3,L_Ohr,0.5573472423486828
pc-i,3,R_Ohr,0.9269579047326189
pc-i,3,L_Schulter,0.21216426407096087
pc-i,3,R_Schulter,1.1154964437973858
pc-i,3,L_Ellbogen,0.5453963499485437
pc-i,3,R_Ellbogen,0.3275801989991723
pc-i,3,L_Handgelenk,0.29090359221776935
pc-i,3,R_Handgelenk,0.5202968413199074
pc-i,3,L_Hüfte,0.9537358255446092
pc-i,3,R_Hüfte,0.4825432621898994
pc-i,3,L_Knie,0.3539436803573421
pc-i,3,R_Knie,1.981450568799472
