code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps,avg_det,avg_pose,avg_vis
lt-lm,Video2,23,61,0.6769,0.6292,0.823,0.0386,1.48,0.5815,0.0925,0.0026
lt-lm,Video2,24,61,0.6751,0.6281,0.8238,0.0322,1.48,0.5799,0.0926,0.0023
lt-lm,Video2,25,61,0.6581,0.5931,0.7504,0.0374,1.52,0.5645,0.0909,0.0024
lt-lm,Video2,26,61,0.6689,0.6195,0.793,0.0383,1.5,0.574,0.0923,0.0024
lt-lm,Video2,27,61,0.6671,0.6043,0.7591,0.0323,1.5,0.5737,0.0908,0.0024
lt-lm,Video2,28,61,0.6653,0.6163,0.7824,0.0344,1.5,0.5719,0.0908,0.0023
lt-lm,Video2,29,61,0.6825,0.6221,0.8418,0.0462,1.47,0.5868,0.0931,0.0023
lt-lm,Video2,30,61,0.6731,0.6159,0.8033,0.0387,1.49,0.5777,0.0927,0.0024
lt-lm,Video3,1,97,0.6296,0.4954,0.8115,0.0615,1.59,0.5566,0.0708,0.0019
lt-lm,Video3,2,97,0.6571,0.5957,0.7472,0.0327,1.52,0.5802,0.0747,0.002
lt-lm,Video3,3,97,0.6478,0.5891,0.7456,0.0295,1.54,0.5707,0.0747,0.0021
lt-lm,Video3,4,97,0.6517,0.5973,0.8148,0.037,1.53,0.5756,0.0738,0.002
lt-lm,Video3,5,97,0.6515,0.6166,0.7223,0.0208,1.53,0.5745,0.0747,0.002
lt-lm,Video3,6,97,0.6445,0.6008,0.742,0.0269,1.55,0.5675,0.0748,0.0019
lt-lm,Video3,7,97,0.653,0.6123,0.79,0.0312,1.53,0.5761,0.0746,0.0021
lt-lm,Video3,8,97,0.6464,0.601,0.7164,0.0246,1.55,0.5698,0.0743,0.0021
lt-lm,Video3,9,97,0.6574,0.6066,0.7608,0.0299,1.52,0.58,0.0752,0.002
lt-lm,Video3,10,97,0.6449,0.6,0.7277,0.0241,1.55,0.5692,0.0735,0.002
lt-lm,Video3,11,97,0.646,0.6023,0.7094,0.0225,1.55,0.5689,0.0748,0.002
lt-lm,Video3,12,97,0.6516,0.6093,0.7575,0.0256,1.53,0.5749,0.0745,0.002
lt-lm,Video3,13,97,0.6566,0.6138,0.7658,0.0276,1.52,0.5798,0.0746,0.0019
lt-lm,Video3,14,97,0.6432,0.6061,0.7623,0.027,1.55,0.5671,0.0739,0.0019
lt-lm,Video3,15,97,0.6497,0.6157,0.7793,0.0268,1.54,0.5724,0.0751,0.002
lt-lm,Video3,16,97,0.6456,0.6037,0.7253,0.0225,1.55,0.5694,0.0739,0.002
lt-lm,Video3,17,97,0.6445,0.6074,0.7364,0.0274,1.55,0.568,0.0743,0.002
lt-lm,Video3,18,97,0.643,0.6011,0.7672,0.0291,1.56,0.5669,0.0738,0.002
lt-lm,Video3,19,97,0.6479,0.6,0.7625,0.0337,1.54,0.5716,0.0741,0.0019
lt-lm,Video3,20,97,0.6664,0.5872,0.8126,0.0482,1.5,0.5873,0.0768,0.002
lt-lm,Video3,21,97,0.6553,0.5867,0.792,0.0375,1.53,0.5772,0.0758,0.002
lt-lm,Video3,22,97,0.6442,0.5961,0.7529,0.0319,1.55,0.569,0.073,0.0018
lt-lm,Video3,23,97,0.6505,0.5934,0.7536,0.0314,1.54,0.5742,0.0741,0.002
lt-lm,Video3,24,97,0.6433,0.6094,0.7186,0.0234,1.55,0.5667,0.0744,0.002
lt-lm,Video3,25,97,0.6422,0.6062,0.7835,0.0228,1.56,0.5657,0.0741,0.0021
lt-lm,Video3,26,97,0.6484,0.6117,0.7307,0.0252,1.54,0.5724,0.0738,0.0019
lt-lm,Video3,27,97,0.6471,0.6071,0.7218,0.0227,1.55,0.5717,0.0732,0.002
lt-lm,Video3,28,97,0.6467,0.608,0.7325,0.0266,1.55,0.5708,0.0738,0.0019
lt-lm,Video3,29,97,0.6452,0.6083,0.7388,0.0238,1.55,0.5698,0.0733,0.0018
lt-lm,Video3,30,97,0.65,0.5919,0.7205,0.0271,1.54,0.5735,0.0742,0.002
lt-lm,Bild1,1,1,0.4925,0.4925,0.4925,0,2.03,0.4515,0.0368,0.0034
lt-lm,Bild1,2,1,0.501,0.501,0.501,0,2.0,0.4669,0.0297,0.0036
lt-lm,Bild1,3,1,0.4884,0.4884,0.4884,0,2.05,0.4546,0.0294,0.0036
lt-lm,Bild1,4,1,0.5134,0.5134,0.5134,0,1.95,0.4775,0.0319,0.0032
lt-lm,Bild1,5,1,0.4942,0.4942,0.4942,0,2.02,0.463,0.0272,0.0033
lt-lm,Bild1,6,1,0.5639,0.5639,0.5639,0,1.77,0.5308,0.0289,0.0034
lt-lm,Bild1,7,1,0.5078,0.5078,0.5078,0,1.97,0.475,0.0287,0.0034
lt-lm,Bild1,8,1,0.5297,0.5297,0.5297,0,1.89,0.4941,0.0314,0.0034
lt-lm,Bild1,9,1,0.478,0.478,0.478,0,2.09,0.4498,0.025,0.0024
lt-lm,Bild1,10,1,0.58,0.58,0.58,0,1.72,0.5429,0.033,0.0034
lt-lm,Bild1,11,1,0.5764,0.5764,0.5764,0,1.73,0.5421,0.0301,0.0034
lt-lm,Bild1,12,1,0.6334,0.6334,0.6334,0,1.58,0.601,0.0296,0.0022
lt-lm,Bild1,13,1,0.5724,0.5724,0.5724,0,1.75,0.5273,0.0403,0.004
lt-lm,Bild1,14,1,0.5668,0.5668,0.5668,0,1.76,0.5254,0.0388,0.002
lt-lm,Bild1,15,1,0.5576,0.5576,0.5576,0,1.79,0.5208,0.0323,0.0037
