code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps,avg_det,avg_pose,avg_vis
lt-l,Video2,24,61,0.1079,0.0712,0.2144,0.0251,9.27,0.0511,0.0547,0.0018
lt-l,Video2,25,61,0.1009,0.0762,0.1974,0.0208,9.91,0.0486,0.0504,0.0016
lt-l,Video2,26,61,0.1043,0.0626,0.1695,0.019,9.58,0.0508,0.0516,0.0017
lt-l,Video2,27,61,0.1039,0.07,0.3209,0.034,9.62,0.0496,0.0526,0.0015
lt-l,Video2,28,61,0.1025,0.0705,0.1974,0.0213,9.76,0.0481,0.0525,0.0016
lt-l,Video2,29,61,0.1003,0.0678,0.1921,0.0223,9.97,0.0478,0.0506,0.0016
lt-l,Video2,30,61,0.1061,0.0744,0.1736,0.0179,9.43,0.0514,0.0527,0.0017
lt-l,Video3,1,97,0.0908,0.0674,0.2505,0.0212,11.01,0.0399,0.049,0.0016
lt-l,Video3,2,97,0.0839,0.0585,0.1503,0.0119,11.92,0.0373,0.0449,0.0014
lt-l,Video3,3,97,0.1053,0.0702,0.1711,0.0164,9.5,0.0461,0.057,0.0018
lt-l,Video3,4,97,0.1111,0.0706,0.2053,0.0204,9.0,0.0483,0.0606,0.0019
lt-l,Video3,5,97,0.1092,0.069,0.2242,0.024,9.16,0.0485,0.0588,0.0017
lt-l,Video3,6,97,0.1088,0.068,0.1944,0.0167,9.19,0.0481,0.0587,0.0017
lt-l,Video3,7,97,0.109,0.0753,0.2194,0.0194,9.18,0.0475,0.0595,0.0017
lt-l,Video3,8,97,0.1086,0.075,0.1874,0.0159,9.21,0.0497,0.0569,0.0017
lt-l,Video3,9,97,0.1087,0.0705,0.2049,0.019,9.2,0.0484,0.0582,0.0018
lt-l,Video3,10,97,0.1063,0.0661,0.2434,0.0207,9.41,0.0474,0.0569,0.0018
lt-l,Video3,11,97,0.1064,0.0705,0.2069,0.0176,9.4,0.0472,0.0572,0.0017
lt-l,Video3,12,97,0.1022,0.0762,0.2028,0.0182,9.79,0.0466,0.0536,0.0017
lt-l,Video3,13,97,0.1078,0.0725,0.1902,0.0187,9.28,0.0475,0.0583,0.0017
lt-l,Video3,14,97,0.1043,0.069,0.2174,0.0173,9.59,0.046,0.0563,0.0017
lt-l,Video3,15,97,0.1199,0.0564,0.2516,0.0267,8.34,0.0527,0.065,0.0018
lt-l,Video3,16,97,0.1053,0.0756,0.2271,0.0196,9.5,0.0461,0.0572,0.0017
lt-l,Video3,17,97,0.1085,0.0739,0.1943,0.0187,9.22,0.0483,0.0582,0.0018
lt-l,Video3,18,97,0.1052,0.0668,0.1935,0.0158,9.51,0.0468,0.0564,0.0017
lt-l,Video3,19,97,0.105,0.0588,0.1908,0.0159,9.52,0.0467,0.0564,0.0017
lt-l,Video3,20,97,0.1074,0.0725,0.2061,0.0175,9.31,0.0478,0.0577,0.0017
lt-l,Video3,21,97,0.1038,0.0701,0.2028,0.0161,9.63,0.0466,0.0554,0.0016
lt-l,Video3,22,97,0.1043,0.0623,0.1853,0.0166,9.59,0.045,0.0571,0.0019
lt-l,Video3,23,97,0.1066,0.0706,0.2261,0.0205,9.38,0.0487,0.056,0.0017
lt-l,Video3,24,97,0.1125,0.0725,0.3502,0.0289,8.89,0.0508,0.0597,0.0018
lt-l,Video3,25,97,0.1111,0.078,0.2317,0.0187,9.0,0.0499,0.0591,0.0018
lt-l,Video3,26,97,0.1054,0.0764,0.2017,0.0164,9.49,0.0464,0.057,0.0017
lt-l,Video3,27,97,0.1091,0.0782,0.1985,0.0181,9.17,0.0488,0.0583,0.0017
lt-l,Video3,28,97,0.1173,0.0773,0.5748,0.0555,8.53,0.0501,0.0651,0.0018
lt-l,Video3,29,97,0.1053,0.0671,0.1886,0.0164,9.5,0.0465,0.0569,0.0017
lt-l,Video3,30,97,0.107,0.0755,0.2855,0.0222,9.35,0.0475,0.0574,0.0018
lt-l,Bild1,1,1,0.2705,0.2705,0.2705,0,3.7,0.1971,0.0532,0.0158
lt-l,Bild1,2,1,0.0988,0.0988,0.0988,0,10.12,0.0541,0.0359,0.0076
lt-l,Bild1,3,1,0.1241,0.1241,0.1241,0,8.06,0.0838,0.032,0.0077
lt-l,Bild1,4,1,0.0995,0.0995,0.0995,0,10.05,0.0575,0.0301,0.0101
lt-l,Bild1,5,1,0.0947,0.0947,0.0947,0,10.56,0.0594,0.0302,0.0045
lt-l,Bild1,6,1,0.1047,0.1047,0.1047,0,9.55,0.061,0.0371,0.0059
lt-l,Bild1,7,1,0.1104,0.1104,0.1104,0,9.06,0.0647,0.0387,0.0061
lt-l,Bild1,8,1,0.069,0.069,0.069,0,14.49,0.0285,0.0338,0.006
lt-l,Bild1,9,1,0.151,0.151,0.151,0,6.62,0.0614,0.0829,0.0058
lt-l,Bild1,10,1,0.1096,0.1096,0.1096,0,9.13,0.0664,0.0386,0.0035
lt-l,Bild1,11,1,0.1151,0.1151,0.1151,0,8.69,0.0775,0.0338,0.003
lt-l,Bild1,12,1,0.1043,0.1043,0.1043,0,9.59,0.0734,0.028,0.0024
lt-l,Bild1,13,1,0.1214,0.1214,0.1214,0,8.24,0.0811,0.0357,0.0038
lt-l,Bild1,14,1,0.1479,0.1479,0.1479,0,6.76,0.1094,0.035,0.0027
lt-l,Bild1,15,1,0.1064,0.1064,0.1064,0,9.4,0.0677,0.0346,0.0034
lt-l,Bild1,16,1,0.1154,0.1154,0.1154,0,8.67,0.0698,0.0387,0.0061
lt-l,Bild1,17,1,0.1012,0.1012,0.1012,0,9.88,0.0618,0.0344,0.004
lt-l,Bild1,18,1,0.1162,0.1162,0.1162,0,8.61,0.0525,0.057,0.006
lt-l,Bild1,19,1,0.108,0.108,0.108,0,9.26,0.0654,0.0362,0.0055
lt-l,Bild1,20,1,0.0991,0.0991,0.0991,0,10.09,0.0608,0.0337,0.0041
lt-l,Bild1,21,1,0.1179,0.1179,0.1179,0,8.48,0.0709,0.0419,0.0044
lt-l,Bild1,22,1,0.1321,0.1321,0.1321,0,7.57,0.0785,0.046,0.0068
lt-l,Bild1,23,1,0.1434,0.1434,0.1434,0,6.97,0.0946,0.0435,0.0047
lt-l,Bild1,24,1,0.155,0.155,0.155,0,6.45,0.1042,0.048,0.0022
lt-l,Bild1,25,1,0.1916,0.1916,0.1916,0,5.22,0.0839,0.1019,0.0042
lt-l,Bild1,26,1,0.1438,0.1438,0.1438,0,6.95,0.0999,0.0395,0.0035
lt-l,Bild1,27,1,0.156,0.156,0.156,0,6.41,0.11,0.0389,0.0062
lt-l,Bild1,28,1,0.1349,0.1349,0.1349,0,7.42,0.0956,0.033,0.0053
lt-l,Bild1,29,1,0.1071,0.1071,0.1071,0,9.34,0.0686,0.0312,0.0063
lt-l,Bild1,30,1,0.074,0.074,0.074,0,13.52,0.0379,0.033,0.0026
lt-l,Bild2,1,1,0.1272,0.1272,0.1272,0,7.86,0.0635,0.0447,0.0125
lt-l,Bild2,2,1,0.0888,0.0888,0.0888,0,11.26,0.0437,0.0314,0.0113
lt-l,Bild2,3,1,0.0698,0.0698,0.0698,0,14.33,0.0276,0.032,0.0087
lt-l,Bild2,4,1,0.0874,0.0874,0.0874,0,11.44,0.0494,0.0305,0.0055
lt-l,Bild2,5,1,0.0846,0.0846,0.0846,0,11.82,0.0365,0.0326,0.0112
lt-l,Bild2,6,1,0.0801,0.0801,0.0801,0,12.48,0.0393,0.0321,0.0055
lt-l,Bild2,7,1,0.0762,0.0762,0.0762,0,13.12,0.0379,0.0259,0.0092
lt-l,Bild2,8,1,0.1003,0.1003,0.1003,0,9.97,0.056,0.0332,0.009
lt-l,Bild2,9,1,0.0691,0.0691,0.0691,0,14.46,0.0355,0.0238,0.0076
lt-l,Bild2,10,1,0.1449,0.1449,0.1449,0,6.9,0.0545,0.075,0.0126
lt-l,Bild2,11,1,0.0923,0.0923,0.0923,0,10.84,0.0549,0.026,0.0091
lt-l,Bild2,12,1,0.1021,0.1021,0.1021,0,9.8,0.0479,0.0444,0.0074
lt-l,Bild2,13,1,0.1135,0.1135,0.1135,0,8.81,0.0696,0.0361,0.0065
lt-l,Bild2,14,1,0.0828,0.0828,0.0828,0,12.07,0.0386,0.0329,0.0093
lt-l,Bild2,15,1,0.0915,0.0915,0.0915,0,10.93,0.0454,0.0346,0.0098
lt-l,Bild2,16,1,0.0825,0.0825,0.0825,0,12.12,0.0318,0.0381,0.0098
lt-l,Bild2,17,1,0.1091,0.1091,0.1091,0,9.17,0.0721,0.0303,0.0055
lt-l,Bild2,18,1,0.079,0.079,0.079,0,12.67,0.0368,0.033,0.0071
lt-l,Bild2,19,1,0.0859,0.0859,0.0859,0,11.64,0.0467,0.0325,0.0055
lt-l,Bild2,20,1,0.0999,0.0999,0.0999,0,10.01,0.0604,0.0303,0.0077
lt-l,Bild2,21,1,0.1126,0.1126,0.1126,0,8.88,0.067,0.0361,0.0075
lt-l,Bild2,22,1,0.0763,0.0763,0.0763,0,13.1,0.0332,0.0351,0.006
lt-l,Bild2,23,1,0.1044,0.1044,0.1044,0,9.57,0.0618,0.0281,0.0116
lt-l,Bild2,24,1,0.1593,0.1593,0.1593,0,6.28,0.1202,0.0313,0.0056
lt-l,Bild2,25,1,0.0839,0.0839,0.0839,0,11.92,0.0424,0.0318,0.0066
lt-l,Bild2,26,1,0.1267,0.1267,0.1267,0,7.9,0.0721,0.0387,0.0111
lt-l,Bild2,27,1,0.1131,0.1131,0.1131,0,8.84,0.0547,0.0478,0.0077
lt-l,Bild2,28,1,0.1067,0.1067,0.1067,0,9.37,0.063,0.0355,0.0061
lt-l,Bild2,29,1,0.087,0.087,0.087,0,11.49,0.0402,0.036,0.0088
lt-l,Bild2,30,1,0.1052,0.1052,0.1052,0,9.5,0.0638,0.0305,0.0091
lt-l,Bild3,1,1,0.1593,0.1593,0.1593,0,6.28,0.0961,0.0411,0.0153
lt-l,Bild3,2,1,0.0992,0.0992,0.0992,0,10.08,0.0503,0.0372,0.0085
lt-l,Bild3,3,1,0.1072,0.1072,0.1072,0,9.33,0.057,0.0371,0.0107
lt-l,Bild3,4,1,0.0948,0.0948,0.0948,0,10.55,0.0507,0.0299,0.0111
lt-l,Bild3,5,1,0.0875,0.0875,0.0875,0,11.43,0.0402,0.0361,0.0085
lt-l,Bild3,6,1,0.0959,0.0959,0.0959,0,10.42,0.0495,0.0338,0.0101
lt-l,Bild3,7,1,0.093,0.093,0.093,0,10.76,0.0423,0.0393,0.0091
lt-l,Bild3,8,1,0.0972,0.0972,0.0972,0,10.29,0.054,0.0347,0.0075
lt-l,Bild3,9,1,0.1352,0.1352,0.1352,0,7.4,0.0664,0.0486,0.0171
lt-l,Bild3,10,1,0.0896,0.0896,0.0896,0,11.15,0.0411,0.0361,0.0107
lt-l,Bild3,11,1,0.1678,0.1678,0.1678,0,5.96,0.0771,0.0776,0.0113
